MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
Inspiration 100.5FM Ibadan,Radio,415964,SOUTH WEST,Oyo,Oyo,100%,,,,46%,54%,,15%,14%,41%,21%,9%,,9%,26%,37%,23%,5%,,39%,61%,0%,,14%,49%,17%,20%,,23%,18%,15%,40%,0%,0%,4%,,54%,43%,3%,,5%,23%,72%,0%,0%,,News,72%,Musicals,34%,,06:00 - 09:00 pm,40%,06:00 - 09:00 am,27%
Fresh 105.9 FM Ibadan,Radio,1236287,SOUTH WEST,Oyo,Oyo,100%,,,,54%,46%,,16%,8%,43%,24%,9%,,5%,15%,37%,41%,2%,,41%,56%,3%,,13%,65%,11%,11%,,30%,14%,17%,23%,2%,0%,14%,,41%,58%,1%,,18%,9%,72%,1%,0%,,News,62%,Sports,38%,,06:00 - 09:00 am,39%,09:00 - 12:00 noon,27%
Petals 102.3 FM Bodija Ibadan,Radio,237622,SOUTH WEST,Oyo,Oyo,100%,,,,35%,65%,,23%,23%,20%,20%,15%,,5%,10%,50%,35%,0%,,57%,43%,0%,,25%,50%,10%,15%,,28%,35%,14%,14%,7%,0%,2%,,50%,50%,0%,,20%,0%,80%,0%,0%,,News,50%,Sports,38%,,06:00 - 09:00 pm,53%,12:00 - 03:00 pm,27%
Lagelu 96.3 FM Ibadan,Radio,415964,SOUTH WEST,Oyo,Oyo,100%,,,,46%,54%,,15%,11%,40%,26%,9%,,3%,6%,34%,57%,0%,,39%,61%,0%,,9%,66%,12%,13%,,36%,18%,23%,19%,0%,0%,4%,,46%,54%,0%,,12%,12%,76%,0%,0%,,News,70%,Sports,36%,,06:00 - 09:00 pm,41%,06:00 - 09:00 am,34%
IBR 92.5 FM Ibadan,Radio,142600,SOUTH WEST,Oyo,Oyo,100%,,,,42%,58%,,19%,15%,30%,21%,16%,,33%,25%,17%,17%,8%,,56%,44%,0%,,17%,33%,25%,25%,,11%,22%,11%,40%,3%,0%,13%,,75%,25%,0%,,33%,10%,57%,0%,0%,,News,75%,Musicals,42%,,09:00 - 12:00 noon,25%,03:00 - 06:00 pm,25%
"Jamz 100.1 F.M, Ibadan",Radio,214016,SOUTH WEST,Oyo,Oyo,100%,,,,61%,39%,,25%,13%,31%,15%,17%,,6%,0%,33%,61%,0%,,33%,58%,9%,,22%,61%,17%,0%,,33%,25%,16%,0%,8%,0%,18%,,33%,67%,0%,,21%,8%,71%,0%,0%,,News,65%,Sports,47%,,06:00 - 09:00 am,53%,09:00 - 12:00 noon,41%
R2 92.9 FM Ibadan,Radio,130730,SOUTH WEST,Oyo,Oyo,100%,,,,46%,54%,,14%,23%,23%,14%,28%,,0%,0%,45%,55%,0%,,56%,44%,0%,,0%,82%,18%,0%,,33%,33%,33%,0%,0%,0%,1%,,45%,45%,10%,,17%,17%,66%,0%,0%,,Sports,36%,News,27%,,09:00 - 12:00 noon,45%,06:00 - 09:00 pm,27%
Lead Radio 106.3 FM Ibadan,Radio,142567,SOUTH WEST,Oyo,Oyo,100%,,,,33%,67%,,13%,21%,30%,21%,16%,,8%,0%,33%,50%,9%,,30%,70%,0%,,25%,58%,16%,1%,,40%,20%,20%,0%,10%,0%,10%,,25%,75%,0%,,32%,0%,68%,0%,0%,,News,45%,Musicals,36%,,12:00 - 03:00 pm,45%,06:00 - 09:00 pm,36%
Gravity 88.1 FM Igboho,Radio,35642,SOUTH WEST,Oyo,Oyo,100%,,,,33%,67%,,25%,42%,33%,0%,0%,,0%,0%,100%,0%,0%,,0%,100%,0%,,33%,67%,0%,0%,,0%,50%,50%,0%,0%,0%,0%,,33%,67%,0%,,0%,33%,67%,0%,0%,,News,100%,Musicals,33%,,09:00 - 12:00 noon,67%,06:00 - 09:00 pm,33%
Raypower 95.1 FM Ibadan,Radio,106992,SOUTH WEST,Oyo,Oyo,100%,,,,56%,44%,,17%,17%,39%,28%,1%,,0%,22%,44%,34%,0%,,43%,57%,0%,,22%,67%,0%,11%,,28%,14%,43%,14%,0%,0%,1%,,33%,67%,0%,,0%,0%,100%,0%,0%,,News,67%,Musicals,44%,,06:00 - 09:00 pm,56%,12:00 - 03:00 pm,44%
