MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
KSTV UHF 14 Kaduna,TV,275328,NORTH WEST,,Kaduna,100%,,,,33%,67%,,14%,5%,40%,42%,0%,,4%,9%,55%,13%,18%,,72%,28%,0%,,40%,23%,28%,9%,,0%,0%,18%,0%,0%,5%,77%,,45%,55%,,,9%,51%,18%,22%,0%,,News,,Soap Opera,70%,,06:00 - 09:00 pm,46%,09:00 - 12:00 noon,64%
NTA Kaduna,TV,1873073,NORTH WEST,,Kaduna,100%,,,,50%,50%,,14%,7%,31%,45%,6%,,11%,21%,34%,21%,13%,,74%,24%,2%,,28%,26%,29%,17%,,2%,4%,20%,6%,8%,3%,58%,,44%,54%,,,11%,47%,24%,18%,1%,,Soap Opera,,,100%,,09:00 - 12 midnight,,12:00 - 03:00 pm,58%
AIT Kaduna,TV,2736532,NORTH WEST,,Kaduna,98%,Bauchi,,,51%,49%,,14%,5%,33%,47%,3%,,11%,14%,33%,23%,19%,,70%,28%,2%,,30%,25%,33%,12%,,6%,6%,24%,6%,5%,3%,49%,,39%,61%,,,12%,52%,22%,14%,0%,,,2%,,,,,,,
NTA Kafanchan,TV,103013,NORTH WEST,,Kaduna,100%,,,,76%,24%,,0%,0%,25%,76%,0%,,0%,13%,62%,0%,25%,,88%,12%,0%,,0%,25%,38%,37%,,0%,25%,13%,13%,0%,0%,49%,,0%,100%,,,38%,63%,0%,0%,0%,,,,,,,,,,
NTA Birnin-Gwari,TV,62917,NORTH WEST,,Kaduna,100%,,,,42%,58%,,14%,5%,20%,62%,0%,,0%,21%,19%,19%,40%,,100%,0%,0%,,38%,0%,40%,21%,,0%,0%,26%,26%,0%,0%,48%,,61%,39%,,,21%,40%,19%,19%,0%,,,,,,,,,,
"CTV Channel 67, Kano",TV,5508228,NORTH WEST,,Kano,98%,JIGAWA,,,44%,56%,,15%,6%,50%,26%,2%,,4%,14%,27%,45%,10%,,34%,66%,1%,,13%,47%,22%,18%,,39%,15%,16%,21%,3%,0%,7%,,8%,92%,,,25%,16%,48%,4%,6%,,News,2%,Sports,73%,,06:00 - 09:00 pm,51%,,100%
NTA Kano,TV,6098650,NORTH WEST,,Kano,93%,JIGAWA,,,51%,49%,,11%,7%,48%,32%,2%,,16%,13%,24%,36%,10%,,37%,61%,2%,,20%,37%,18%,26%,,30%,14%,25%,18%,9%,1%,4%,,10%,90%,,,30%,16%,46%,5%,2%,,News,7%,Sports,100%,,,29%,,
Katsina State TV,TV,4592355,NORTH WEST,,Kastina,99%,KANO,,,50%,50%,,16%,10%,34%,28%,13%,,9%,6%,9%,60%,15%,,69%,25%,5%,,41%,53%,5%,1%,,46%,13%,35%,3%,0%,0%,2%,,0%,100%,,,13%,10%,36%,27%,13%,,Talk-show,1%,News,42%,,09:00 - 12 midnight,36%,003:00 - 06:00 pm:00 - 09:00 am,59%
NTA Katsina,TV,2382920,NORTH WEST,,Kastina,98%,KANO,,,59%,41%,,9%,9%,37%,31%,15%,,9%,7%,19%,34%,31%,,78%,14%,8%,,27%,61%,13%,0%,,49%,8%,37%,4%,2%,0%,0%,,3%,96%,,,18%,21%,27%,22%,12%,,Reality Show,2%,,100%,,,,,
KTV Kebbi,TV,1841201,NORTH WEST,,Kebbi,100%,,,,59%,41%,,24%,9%,50%,13%,4%,,7%,29%,24%,18%,23%,,8%,92%,0%,,14%,33%,43%,9%,,7%,17%,36%,30%,10%,0%,0%,,6%,93%,,,13%,9%,77%,0%,0%,,,,,,,,,,
NTA Kebbi,TV,2013805,NORTH WEST,,Kebbi,100%,,,,45%,55%,,20%,12%,51%,16%,1%,,10%,24%,22%,24%,18%,,13%,87%,0%,,22%,31%,42%,6%,,8%,16%,45%,12%,2%,0%,17%,,6%,94%,,,19%,12%,66%,3%,0%,,,,,,,,,,
NTA Sokoto,TV,3385184,NORTH WEST,,Sokoto,100%,,,,49%,51%,,29%,11%,42%,15%,3%,,8%,44%,26%,15%,6%,,10%,90%,0%,,13%,45%,33%,8%,,12%,18%,48%,15%,5%,0%,2%,,1%,99%,,,9%,12%,79%,0%,0%,,News,,,100%,,09:00 - 12 midnight,,003:00 - 06:00 pm:00 - 09:00 am,100%
Sokoto State Television,TV,1015430,NORTH WEST,,Sokoto,100%,,,,53%,47%,,31%,10%,40%,19%,2%,,25%,63%,6%,3%,4%,,8%,88%,4%,,24%,33%,29%,14%,,5%,10%,57%,10%,15%,2%,2%,,2%,96%,,,8%,13%,76%,3%,0%,,Drama,,,100%,,03:00 - 06:00 pm,,,100%
NTA Gusau,TV,3880261,NORTH WEST,,Zamfara,100%,,,,54%,46%,,13%,5%,36%,40%,6%,,2%,32%,36%,19%,11%,,73%,24%,4%,,33%,29%,34%,4%,,1%,5%,15%,7%,7%,0%,64%,,3%,97%,,,8%,45%,28%,18%,1%,,News,,Politics,49%,,06:00 - 09:00 pm,15%,003:00 - 06:00 pm:00 - 09:00 am,56%
AIT Abuja,TV,677380,NORTH CENTRAL,,Abuja,100%,,,,51%,49%,,7%,7%,32%,39%,14%,,22%,11%,41%,23%,2%,,51%,47%,2%,,10%,32%,25%,32%,,4%,7%,32%,7%,9%,5%,37%,,64%,36%,,,42%,19%,29%,3%,7%,,,,,,,,,,
NTA Abuja,TV,598006,NORTH CENTRAL,,Abuja,74%,NASSARAWA,,,56%,44%,,8%,17%,18%,44%,14%,,22%,18%,40%,17%,4%,,54%,44%,2%,,13%,36%,21%,30%,,6%,17%,34%,10%,5%,2%,27%,,71%,29%,,,42%,25%,27%,2%,5%,,News,26%,Politics,57%,,06:00 - 09:00 pm,31%,003:00 - 06:00 pm:00 - 09:00 am,38%
Channels TV Abuja,TV,429077,NORTH CENTRAL,,Abuja,72%,NASSARAWA,,,56%,44%,,4%,5%,38%,40%,13%,,21%,11%,36%,29%,2%,,37%,60%,3%,,8%,32%,29%,32%,,5%,30%,30%,10%,9%,2%,14%,,77%,23%,,,47%,26%,20%,2%,5%,,News,22%,Musicals,37%,,06:00 - 09:00 pm,35%,03:00 - 06:00 pm,64%
ITV Abuja,TV,250302,NORTH CENTRAL,,Abuja,94%,Nassarawa,,,31%,69%,,13%,8%,35%,36%,9%,,25%,14%,27%,27%,7%,,41%,57%,2%,,16%,44%,16%,24%,,17%,14%,31%,7%,10%,6%,15%,,80%,20%,,,27%,32%,29%,3%,8%,,Talk-show,6%,Talk-show,37%,,06:00 - 09:00 pm,37%,003:00 - 06:00 pm:00 - 09:00 am,51%
Silverbird TV ABUJA,TV,130437,NORTH CENTRAL,,Abuja,100%,,,,42%,58%,,6%,8%,42%,39%,6%,,23%,13%,42%,16%,6%,,43%,57%,0%,,9%,38%,23%,31%,,3%,12%,24%,3%,15%,3%,40%,,77%,23%,,,32%,28%,30%,3%,8%,,News,,Musicals,45%,,06:00 - 09:00 pm,31%,09:00 - 12 midnight,65%
WAZOBIA MAX ABUJA,TV,298091,NORTH CENTRAL,,Abuja,97%,Nassarawa,,,56%,44%,,9%,8%,27%,43%,14%,,28%,18%,36%,18%,0%,,53%,45%,2%,,12%,19%,28%,41%,,2%,16%,22%,12%,14%,3%,31%,,71%,29%,,,47%,20%,24%,3%,6%,,News,3%,Musicals,69%,,06:00 - 09:00 pm,35%,09:00 - 12 midnight,59%
NTA Makurdi,TV,4437624,NORTH CENTRAL,,Benue,100%,,,,51%,49%,,12%,12%,55%,15%,5%,,9%,14%,33%,22%,21%,,17%,78%,5%,,17%,39%,17%,26%,,24%,13%,35%,14%,9%,1%,5%,,89%,10%,,,24%,19%,50%,2%,4%,,Kiddies,,Kiddies,65%,,09:00 - 12 midnight,35%,,100%
BTV Makurdi,TV,538638,NORTH CENTRAL,,Benue,100%,,,,51%,49%,,15%,10%,51%,14%,9%,,5%,15%,31%,25%,24%,,16%,78%,6%,,23%,37%,12%,29%,,31%,9%,40%,12%,4%,0%,4%,,92%,8%,,,28%,15%,51%,3%,2%,,,,,,,,,,
NTA Lokoja,TV,2340481,NORTH CENTRAL,,Kogi,100%,,,,48%,52%,,13%,7%,30%,44%,6%,,5%,20%,52%,9%,13%,,49%,48%,3%,,19%,3%,46%,32%,,27%,12%,34%,23%,3%,0%,1%,,67%,33%,,,7%,35%,36%,10%,11%,,Kiddies,,Soap Opera,53%,,09:00 - 12 midnight,18%,,100%
Kogi State TV,TV,137015,NORTH CENTRAL,,Kogi,100%,,,,51%,49%,,23%,33%,13%,18%,15%,,20%,20%,45%,0%,15%,,78%,11%,11%,,50%,15%,25%,10%,,33%,23%,33%,11%,0%,0%,0%,,50%,50%,,,0%,35%,60%,5%,0%,,,,,,,,,,
NTA Kabba,TV,369693,NORTH CENTRAL,,Kogi,100%,,,,49%,51%,,3%,1%,35%,56%,6%,,17%,24%,46%,4%,9%,,48%,50%,2%,,6%,0%,54%,41%,,31%,14%,28%,21%,2%,0%,4%,,61%,39%,,,5%,48%,24%,15%,7%,,Religious programme,,,100%,,,,,
CTV Lokoja,TV,1047568,NORTH CENTRAL,,Kogi,98%,NASSARAWA,,,50%,50%,,8%,7%,33%,49%,3%,,6%,25%,46%,7%,16%,,46%,53%,1%,,17%,3%,41%,40%,,24%,17%,29%,27%,3%,0%,1%,,63%,37%,,,8%,40%,31%,8%,13%,,Kiddies,2%,Soap Opera,48%,,09:00 - 12 midnight,15%,,100%
KTV Ilorin,TV,782653,NORTH CENTRAL,,Kwara,100%,,,,26%,74%,,6%,6%,48%,21%,20%,,6%,4%,26%,50%,14%,,32%,64%,4%,,20%,54%,26%,0%,,58%,18%,10%,10%,0%,0%,5%,,4%,96%,,,44%,16%,35%,0%,4%,,Kiddies,,,100%,,09:00 - 12 midnight,,,100%
NTA Ilorin,TV,2039703,NORTH CENTRAL,,Kwara,100%,,,,62%,38%,,9%,5%,31%,41%,16%,,7%,9%,48%,34%,1%,,47%,49%,4%,,14%,32%,35%,20%,,28%,38%,21%,10%,0%,0%,4%,,53%,47%,,,73%,7%,17%,4%,0%,,,,,,,,,,
"NBS TV, Nassarawa",TV,679168,NORTH CENTRAL,,Nassarawa,100%,,,,55%,45%,,14%,8%,28%,38%,13%,,8%,19%,26%,34%,13%,,58%,42%,0%,,9%,42%,46%,3%,,17%,52%,24%,8%,0%,0%,0%,,36%,63%,,,37%,29%,27%,2%,5%,,Talk-show,,Kiddies,24%,,06:00 - 09:00 pm,22%,09:00 - 12 midnight,66%
NTA Lafia,TV,1292203,NORTH CENTRAL,,Nassarawa,100%,,,,49%,51%,,14%,9%,23%,38%,18%,,8%,15%,44%,16%,16%,,42%,58%,0%,,19%,28%,33%,21%,,9%,42%,43%,2%,0%,0%,4%,,69%,31%,,,40%,35%,24%,0%,1%,,Kiddies,,Politics,56%,,06:00 - 09:00 pm,45%,003:00 - 06:00 pm:00 - 09:00 am,62%
NTA Minna,TV,3339249,NORTH CENTRAL,,Niger,100%,,,,49%,51%,,14%,17%,40%,25%,4%,,10%,9%,29%,33%,19%,,51%,44%,5%,,46%,24%,22%,8%,,42%,13%,28%,11%,4%,0%,2%,,51%,49%,,,16%,25%,30%,26%,3%,,Kiddies,,Religious programme,69%,,06:00 - 09:00 pm,31%,09:00 - 12 midnight,100%
NSTV Minna,TV,1331426,NORTH CENTRAL,,Niger,100%,,,,51%,49%,,4%,3%,46%,41%,6%,,9%,19%,32%,24%,17%,,63%,32%,5%,,26%,37%,21%,16%,,27%,16%,23%,20%,6%,0%,9%,,37%,63%,,,25%,43%,8%,21%,3%,,,,,,,,,,
PRTV Jos,TV,1335655,NORTH CENTRAL,,Plateau,100%,,,,50%,50%,,11%,6%,45%,30%,9%,,3%,14%,28%,36%,20%,,33%,64%,3%,,25%,20%,14%,40%,,26%,29%,36%,5%,2%,0%,3%,,86%,13%,,,37%,12%,39%,7%,5%,,Kiddies,,Variety Show,44%,,09:00 - 12 midnight,23%,06:00 - 09:00 pm,48%
NTA Jos,TV,814982,NORTH CENTRAL,,Plateau,100%,,,,45%,55%,,9%,6%,44%,28%,13%,,4%,14%,18%,45%,20%,,26%,70%,4%,,24%,20%,21%,36%,,28%,26%,34%,5%,2%,0%,5%,,87%,13%,,,40%,14%,34%,5%,7%,,Kiddies,,Drama,38%,,09:00 - 12 midnight,17%,06:00 - 09:00 pm,44%
AIT Jos,TV,784677,NORTH CENTRAL,,Plateau,100%,,,,53%,47%,,11%,9%,42%,29%,10%,,5%,14%,18%,46%,16%,,33%,65%,3%,,24%,24%,21%,32%,,31%,28%,27%,3%,4%,0%,6%,,82%,18%,,,36%,13%,40%,5%,5%,,Drama,,Kiddies,40%,,03:00 - 06:00 pm,26%,09:00 - 12 midnight,44%
Silverbird TV Jos,TV,848372,NORTH CENTRAL,,Plateau,100%,,,,46%,54%,,10%,4%,49%,29%,8%,,2%,15%,30%,43%,11%,,39%,58%,3%,,27%,13%,26%,34%,,23%,27%,36%,6%,1%,1%,6%,,84%,16%,,,40%,18%,30%,5%,6%,,Kiddies,,Sports,63%,,06:00 - 09:00 pm,27%,09:00 - 12:00 noon,36%
ATV Yola,TV,258716,NORTH EAST,,Adamawa,100%,,,,49%,51%,,14%,10%,25%,35%,18%,,10%,28%,0%,23%,39%,,40%,60%,0%,,10%,23%,26%,41%,,37%,13%,13%,13%,10%,3%,10%,,31%,69%,,,38%,29%,33%,0%,0%,,Kiddies,,Talk-show,45%,,003:00 - 06:00 pm:00 - 09:00 am,28%,03:00 - 06:00 pm,33%
NTA Yola,TV,1015065,NORTH EAST,,Adamawa,100%,,,,47%,53%,,11%,9%,32%,32%,17%,,15%,18%,15%,21%,31%,,44%,56%,0%,,6%,34%,45%,16%,,27%,8%,22%,14%,10%,5%,14%,,36%,64%,,,21%,22%,36%,15%,5%,,Comedy,,Cartoons,40%,,12:00 - 03:00 pm,40%,03:00 - 06:00 pm,50%
"Gotel TV, Yola",TV,2506964,NORTH EAST,,Adamawa,100%,,,,52%,48%,,14%,10%,44%,25%,6%,,14%,16%,42%,13%,16%,,14%,85%,1%,,14%,16%,42%,28%,,18%,28%,20%,23%,9%,0%,2%,,35%,64%,,,15%,23%,39%,4%,19%,,Musicals,,Current Affairs,50%,,09:00 - 12:00 noon,50%,,100%
BATV Bauchi,TV,1662941,NORTH EAST,,Bauchi,100%,,,,44%,56%,,11%,7%,51%,26%,6%,,13%,4%,3%,47%,33%,,37%,63%,0%,,27%,28%,38%,6%,,51%,0%,33%,7%,4%,0%,4%,,0%,100%,,,7%,18%,27%,19%,29%,,Home Video Films,,,100%,,,,,
NTA Bauchi,TV,3853307,NORTH EAST,,Bauchi,100%,,,,57%,43%,,14%,9%,39%,36%,3%,,6%,13%,16%,38%,26%,,46%,52%,2%,,16%,18%,43%,24%,,38%,2%,31%,2%,7%,0%,20%,,28%,71%,,,17%,23%,36%,7%,16%,,Kiddies,,Home Video Films,71%,,,29%,,
BRTV Maiduguri,TV,1715098,NORTH EAST,,Borno,100%,,,,51%,49%,,20%,9%,21%,46%,5%,,17%,4%,0%,33%,45%,,43%,37%,21%,,59%,23%,18%,0%,,0%,0%,16%,0%,7%,2%,76%,,1%,99%,,,21%,33%,36%,10%,0%,,,,,,,,,,
NTA Maiduguri,TV,3226152,NORTH EAST,,Borno,100%,,,,46%,54%,,11%,4%,30%,47%,9%,,9%,4%,8%,36%,44%,,45%,30%,25%,,48%,14%,35%,4%,,0%,0%,18%,0%,5%,1%,76%,,0%,100%,,,13%,37%,29%,20%,1%,,Kiddies,,Cartoons,52%,,,29%,,
NTA Gombe,TV,1045021,NORTH EAST,,Gombe,100%,,,,52%,48%,,11%,16%,35%,29%,10%,,9%,10%,32%,43%,4%,,37%,48%,15%,,23%,39%,23%,14%,,17%,19%,37%,4%,4%,3%,16%,,28%,71%,,,19%,32%,39%,10%,0%,,,,,,,,,,
Gombe State TV,TV,1112197,NORTH EAST,,Gombe,100%,,,,57%,43%,,12%,8%,42%,26%,14%,,4%,13%,36%,31%,17%,,55%,39%,6%,,26%,36%,15%,22%,,23%,19%,42%,1%,0%,1%,14%,,25%,75%,,,23%,34%,33%,6%,4%,,,,,,,,,,
"AIT, Gombe",TV,644653,NORTH EAST,,Gombe,100%,,,,42%,58%,,29%,28%,34%,6%,3%,,12%,3%,20%,45%,19%,,14%,80%,6%,,31%,27%,23%,19%,,49%,0%,15%,15%,7%,3%,11%,,28%,72%,,,10%,8%,80%,0%,2%,,Religious programme,,,100%,,03:00 - 06:00 pm,,,100%
NTA Jalingo,TV,1307766,NORTH EAST,,Taraba,100%,,,,55%,45%,,14%,8%,33%,34%,12%,,4%,3%,19%,8%,66%,,54%,43%,3%,,35%,32%,26%,7%,,64%,15%,2%,3%,1%,1%,13%,,67%,30%,,,59%,11%,25%,2%,3%,,Musicals,,,100%,,09:00 - 12 midnight,,,100%
TTV Jalingo,TV,1476837,NORTH EAST,,Taraba,100%,,,,50%,50%,,15%,7%,30%,35%,12%,,4%,2%,17%,9%,69%,,56%,39%,5%,,40%,27%,27%,6%,,67%,15%,2%,3%,1%,0%,12%,,69%,29%,,,60%,13%,24%,2%,2%,,Kiddies,,Sports,100%,,09:00 - 12 midnight,100%,,100%
NTA Damaturu,TV,2759199,NORTH EAST,,Yobe,100%,,,,52%,48%,,23%,14%,17%,39%,9%,,58%,10%,2%,7%,23%,,92%,8%,0%,,55%,2%,29%,13%,,1%,3%,8%,2%,46%,11%,30%,,1%,99%,,,35%,0%,47%,16%,1%,,,,,,,,,,
Ekiti TV,TV,1857488,SOUTH WEST,,Ekiti,100%,,,,46%,54%,,14%,15%,15%,32%,24%,,12%,11%,10%,47%,20%,,71%,7%,22%,,22%,49%,20%,9%,,11%,71%,18%,0%,0%,0%,0%,,81%,17%,,,4%,67%,23%,4%,3%,,Kiddies,,Religious programme,100%,,06:00 - 09:00 pm,68%,,100%
NTA Ado-Ekiti,TV,1016744,SOUTH WEST,,Ekiti,96%,Osun,,,70%,30%,,12%,10%,17%,50%,13%,,5%,9%,19%,42%,25%,,73%,25%,3%,,14%,56%,17%,13%,,6%,85%,8%,1%,0%,0%,0%,,82%,15%,,,7%,56%,32%,5%,0%,,Sports,4%,Educational,100%,,06:00 - 09:00 pm,100%,,100%
NTA Akure,TV,1405276,SOUTH WEST,,Ondo,100%,,,,48%,52%,,18%,9%,16%,9%,47%,,6%,5%,4%,55%,31%,,63%,19%,19%,,44%,41%,12%,2%,,58%,8%,28%,6%,0%,0%,0%,,68%,32%,,,40%,18%,29%,13%,0%,,Kiddies,,Musicals,100%,,06:00 - 09:00 pm,100%,,100%
"OSBC, Akure",TV,2712521,SOUTH WEST,,Ondo,99%,Osun,,,52%,48%,,9%,4%,37%,30%,20%,,10%,7%,11%,61%,11%,,65%,26%,10%,,27%,49%,13%,11%,,46%,9%,40%,5%,0%,0%,0%,,80%,20%,,,45%,24%,28%,2%,1%,,Kiddies,1%,Educational,75%,,06:00 - 09:00 pm,25%,03:00 - 06:00 pm,75%
OSBC Osogbo,TV,1637310,SOUTH WEST,,Osun,100%,,,,50%,50%,,15%,8%,29%,32%,17%,,7%,6%,25%,46%,16%,,63%,28%,9%,,12%,79%,8%,1%,,49%,34%,4%,10%,2%,1%,0%,,60%,39%,,,56%,3%,41%,0%,0%,,,,,,,,,,
NTA Osogbo,TV,1018273,SOUTH WEST,,Osun,100%,,,,54%,46%,,13%,7%,25%,33%,22%,,5%,5%,38%,41%,11%,,64%,28%,9%,,12%,81%,6%,1%,,38%,41%,7%,14%,1%,0%,0%,,52%,44%,,,60%,2%,39%,0%,0%,,Kiddies,,Kiddies,100%,,06:00 - 09:00 pm,54%,09:00 - 12 midnight,100%
NTA Ile-Ife,TV,691196,SOUTH WEST,,Osun,100%,,,,51%,49%,,9%,5%,36%,38%,11%,,3%,6%,29%,45%,16%,,57%,36%,7%,,7%,81%,8%,3%,,49%,30%,10%,10%,1%,0%,0%,,57%,41%,,,60%,1%,39%,0%,0%,,,,,,,,,,
"Living Spring, Ile-Ife",TV,538770,SOUTH WEST,,Osun,100%,,,,46%,54%,,17%,7%,28%,28%,19%,,13%,8%,31%,34%,15%,,60%,31%,9%,,18%,74%,8%,0%,,44%,33%,13%,9%,0%,2%,0%,,55%,41%,,,51%,3%,46%,0%,0%,,Kiddies,,Home Video Films,92%,,06:00 - 09:00 pm,72%,09:00 - 12 midnight,92%
"New Dawn, Obokun",TV,131426,SOUTH WEST,,Oyo,100%,,,,22%,78%,,13%,4%,28%,50%,6%,,11%,0%,33%,50%,6%,,73%,20%,7%,,17%,72%,12%,0%,,53%,27%,7%,13%,0%,0%,0%,,50%,44%,,,56%,6%,39%,0%,0%,,Kiddies,,Home Video Films,100%,,06:00 - 09:00 pm,79%,09:00 - 12 midnight,100%
"BCOS Channel 28, Ibadan",TV,2282065,SOUTH WEST,,Oyo,100%,,,,49%,51%,,15%,14%,35%,26%,10%,,5%,11%,35%,45%,3%,,40%,58%,2%,,16%,63%,11%,10%,,31%,19%,21%,18%,2%,1%,8%,,45%,54%,,,39%,8%,51%,2%,0%,,Drama,,Fashion & Style,39%,,06:00 - 09:00 pm,29%,03:00 - 06:00 pm,61%
"Galaxy TV, Ibadan",TV,1758910,SOUTH WEST,,Oyo,100%,,,,45%,55%,,17%,10%,38%,25%,13%,,7%,15%,42%,33%,3%,,47%,49%,4%,,15%,57%,14%,14%,,20%,27%,19%,23%,6%,0%,6%,,44%,54%,,,40%,12%,49%,0%,0%,,Kiddies,,Sports,87%,,06:00 - 09:00 pm,33%,12:00 - 03:00 pm,68%
"NTA Channel 4, 5, & 7 Ibadan",TV,1616443,SOUTH WEST,,Oyo,100%,,,,49%,51%,,22%,14%,34%,21%,11%,,6%,22%,31%,38%,4%,,43%,56%,1%,,15%,60%,11%,13%,,29%,22%,13%,27%,5%,0%,4%,,47%,53%,,,36%,5%,57%,2%,0%,,Musicals,,Musicals,44%,,06:00 - 09:00 pm,44%,03:00 - 06:00 pm,59%
NTA Oyo,TV,487180,SOUTH WEST,,Oyo,100%,,,,39%,61%,,20%,17%,38%,18%,7%,,7%,20%,44%,22%,7%,,37%,63%,0%,,20%,49%,17%,15%,,20%,20%,17%,30%,6%,0%,7%,,46%,54%,,,27%,7%,65%,0%,0%,,Kiddies,,Sports,78%,,06:00 - 09:00 pm,36%,12:00 - 03:00 pm,61%
MITV Ibadan,TV,166439,SOUTH WEST,,Oyo,100%,,,,57%,43%,,11%,4%,32%,54%,0%,,36%,21%,21%,14%,7%,,33%,58%,8%,,14%,14%,21%,50%,,17%,8%,8%,33%,33%,0%,0%,,71%,29%,,,57%,7%,36%,0%,0%,,Kiddies,,Musicals,89%,,06:00 - 09:00 pm,16%,09:00 - 12 midnight,89%
AIT Ibadan,TV,268629,SOUTH WEST,,Oyo,80%,OGUN,,,53%,47%,,14%,12%,28%,24%,23%,,9%,12%,43%,37%,0%,,68%,32%,0%,,21%,52%,15%,13%,,26%,32%,21%,11%,4%,0%,6%,,54%,46%,,,50%,6%,44%,0%,0%,,Kiddies,20%,Talk-show,100%,,06:00 - 09:00 pm,31%,003:00 - 06:00 pm:00 - 09:00 am,91%
"NTA Channel 12, Abeokuta",TV,875628,SOUTH WEST,,Ogun,99%,Oyo,,,51%,49%,,7%,5%,23%,38%,28%,,14%,13%,37%,29%,6%,,67%,25%,8%,,3%,30%,45%,22%,,4%,15%,14%,4%,6%,5%,52%,,58%,40%,,,55%,26%,17%,2%,0%,,Educational,1%,Kiddies,100%,,12:00 - 03:00 pm,100%,,100%
NTA Ijebu-Ode,TV,437300,SOUTH WEST,,Ogun,100%,,,,61%,39%,,10%,7%,16%,41%,27%,,13%,11%,27%,42%,7%,,71%,13%,16%,,5%,25%,45%,25%,,10%,21%,8%,6%,2%,0%,50%,,44%,53%,,,47%,31%,20%,2%,0%,,Musicals,,Kiddies,64%,,03:00 - 06:00 pm,64%,06:00 - 09:00 pm,100%
"OGTV, Abeokuta",TV,2588208,SOUTH WEST,,Ogun,93%,LAGOS,,,50%,50%,,7%,5%,21%,47%,20%,,10%,11%,29%,42%,7%,,71%,19%,9%,,4%,23%,48%,24%,,8%,16%,14%,6%,2%,2%,52%,,64%,35%,,,63%,21%,15%,1%,0%,,Musicals,4%,Kiddies,54%,,06:00 - 09:00 pm,51%,12:00 - 03:00 pm,69%
AIT Lagos,TV,2020851,SOUTH WEST,,Lagos,81%,OGUN,,,50%,50%,,13%,9%,19%,35%,25%,,4%,14%,36%,46%,1%,,75%,24%,1%,,11%,35%,41%,12%,,2%,18%,32%,1%,0%,1%,46%,,66%,34%,,,57%,13%,26%,4%,0%,,Kiddies,18%,Home Video Films,57%,,09:00 - 12 midnight,26%,06:00 - 09:00 pm,40%
"Channels TV, Lagos",TV,1624812,SOUTH WEST,,Lagos,93%,OGUN,,,54%,46%,,13%,7%,20%,38%,22%,,6%,9%,33%,49%,3%,,76%,23%,2%,,12%,24%,44%,20%,,9%,20%,22%,1%,5%,1%,43%,,64%,36%,,,57%,10%,27%,4%,2%,,Kiddies,6%,Home Video Films,43%,,06:00 - 09:00 pm,35%,003:00 - 06:00 pm:00 - 09:00 am,39%
"SuperScreen, Lagos",TV,677732,SOUTH WEST,,Lagos,100%,,,,44%,56%,,15%,9%,12%,24%,41%,,12%,20%,33%,36%,0%,,90%,10%,0%,,12%,35%,36%,18%,,0%,7%,34%,3%,12%,0%,44%,,55%,45%,,,68%,4%,26%,2%,0%,,Kiddies,,Musicals,100%,,003:00 - 06:00 pm:00 - 09:00 am,80%,06:00 - 09:00 pm,87%
"LTV, Channel 8, Lagos",TV,757293,SOUTH WEST,,Lagos,100%,,,,61%,39%,,9%,8%,13%,36%,34%,,2%,16%,32%,50%,0%,,80%,20%,0%,,7%,30%,45%,18%,,0%,8%,37%,0%,0%,0%,55%,,64%,36%,,,74%,9%,16%,2%,0%,,Kiddies,,Musicals,48%,,06:00 - 09:00 pm,37%,003:00 - 06:00 pm:00 - 09:00 am,49%
"Galaxy TV, Lagos",TV,1894141,SOUTH WEST,,Lagos,94%,OGUN,,,48%,52%,,7%,5%,24%,36%,29%,,8%,11%,36%,43%,2%,,70%,29%,1%,,5%,28%,46%,21%,,6%,18%,29%,1%,3%,3%,39%,,69%,31%,,,65%,14%,17%,3%,1%,,Kiddies,6%,Talk-show,59%,,09:00 - 12 midnight,20%,06:00 - 09:00 pm,41%
